1900	200	254	123	26	12	0	12	0	17	125	264	342	115
1901	183	320	270	90	75	6	0	5	90	103	436	270	154
1902	120	300	260	45	42	5	10	0	79	125	256	320	130
1903	70	128	273	85	10	3	7	10	130	113	276	379	124
1904	95	335	199	71	38	0	9	3	105	118	338	209	127
1905	182	349	274	87	26	2	10	3	174	153	332	211	150
1906	119	230	293	76	25	3	8	9	173	219	424	418	166
1907	235	375	148	83	52	0	9	5	233	280	240	374	170
1908	103	334	266	84	60	10	3	1	102	158	483	349	163
1909	241	167	146	59	7	10	6	1	236	208	202	263	129
1910	156	138	153	86	66	3	10	10	90	260	201	337	126
1911	181	295	269	86	20	6	3	10	99	108	438	362	156
1912	206	215	233	84	44	7	9	4	127	274	253	420	156
1913	172	310	233	83	49	7	2	10	236	251	251	493	175
1914	167	132	106	33	51	10	5	5	94	261	243	350	121
1915	162	119	272	67	37	9	4	10	159	195	479	348	155
1916	173	147	233	69	62	6	0	4	166	165	313	421	147
1917	208	316	243	88	19	4	1	7	247	169	320	321	162
1918	231	375	129	42	69	8	9	8	239	293	442	247	174
1919	250	235	207	88	44	5	5	1	117	253	313	447	164
1920	132	326	139	88	67	0	2	6	245	258	453	411	177
1921	197	233	229	89	13	6	9	3	232	128	499	350	166
1922	219	249	182	94	46	0	2	2	174	165	292	241	139
1923	175	368	189	91	22	8	4	9	185	112	452	356	164
1924	98	207	166	69	23	5	1	10	73	116	205	361	111
1925	89	109	160	51	59	0	6	10	224	135	282	309	120
1926	204	259	227	72	65	4	0	3	150	245	378	483	174
1927	152	118	119	55	32	9	5	10	131	188	239	242	108
1928	202	110	209	35	65	4	10	4	136	142	355	399	139
1929	75	370	225	34	32	8	10	0	234	216	360	216	148
1930	179	355	121	100	25	2	6	10	105	144	205	404	138
1931	194	223	265	98	59	7	1	4	150	248	314	447	168
1932	180	369	224	65	49	9	8	10	119	199	357	387	165
1933	176	298	284	62	42	2	4	0	243	295	377	213	166
1934	136	308	228	43	51	2	0	0	160	280	287	412	159
1935	105	356	114	92	0	7	1	8	123	290	442	464	167
1936	112	168	144	49	7	0	9	2	119	177	350	306	120
1937	80	324	280	56	48	2	5	9	198	298	355	317	164
1938	75	298	173	53	35	2	6	6	224	245	427	246	149
1939	232	328	177	36	75	8	0	8	167	183	351	257	152
1940	212	116	221	83	77	9	4	5	88	221	406	207	137
1941	157	334	103	39	72	0	6	7	175	225	482	241	153
1942	136	100	260	54	53	2	6	4	86	193	220	212	111
1943	240	246	143	76	76	7	10	1	177	239	430	489	178
1944	131	308	239	94	28	9	8	1	223	187	289	242	147
1945	149	240	273	43	39	1	4	1	177	142	438	306	151
1946	137	340	146	65	42	1	5	3	96	224	321	318	142
1947	246	146	146	45	6	0	9	10	66	297	467	296	145
1948	239	376	201	52	31	10	1	2	178	237	326	336	166
1949	166	333	217	62	48	6	10	6	180	226	302	412	164
1950	226	344	114	75	53	7	10	0	136	267	436	488	180
1951	159	338	250	62	47	1	6	10	112	116	234	456	149
1952	234	377	281	84	28	6	4	5	234	242	475	298	189
1953	174	236	162	92	55	2	0	6	233	123	259	430	148
1954	95	120	167	62	55	0	4	6	118	151	381	474	136
1955	226	203	125	67	35	8	3	4	116	278	326	486	156
1956	200	180	141	65	41	6	4	3	216	223	451	387	160
1957	206	115	205	50	79	0	3	0	173	288	216	445	148
1958	138	115	273	35	3	1	6	5	185	135	208	300	117
1959	225	195	205	32	59	9	9	9	128	282	496	385	170
1960	100	261	213	40	74	9	9	3	75	243	264	455	146
1961	229	341	285	49	33	8	4	6	177	267	221	208	152
1962	174	203	275	67	71	5	5	4	238	202	232	366	154
